10;9;9600
50;39;13200
70;63;16800
150;117;24000
210;169;31200
250;195;34800
310;247;42000
350;272;45600
410;325;52800
450;340;56400
510;390;61800
530;408;65400
550;408;67200
610;468;72600
650;476;78000
710;544;83400
750;544;88800
810;612;94200
850;612;97800
910;680;105000
950;680;108600
990;748;114000
